gl_transaction_id,posting_date,account_code,account_name,debit_amount,credit_amount,description,reference_number,currency,source_document
GL000097,2025-07-12,1002,Cash,0.0,1262.03,Office of remember individual boy again.,REF529Bg751,USD,BANK_STMT_2025-07
GL000313,2025-06-27,1001,Savings,9301.06,0.0,Maybe production summer southern pass coach.,REF827KQ229,USD,BANK_STMT_2025-06
GL000975,2025-06-28,2001,Cash,0.0,9618.98,Go south time senior where follow born.,REF948Il848,USD,BANK_STMT_2025-06
GL000300,2025-07-04,1001,Revenue,0.0,3741.87,Either rich agency might side method.,REF877uG043,USD,BANK_STMT_2025-07
GL000278,2025-07-11,2001,Cash,2745.767363384259,0.0,Treat lot notice just particularly single.,REF902AC771,USD,BANK_STMT_2025-07
GL000925,2025-07-25,1002,Revenue,0.0,3111.52,Over manage computer medical method week.,REF448RJ354,USD,BANK_STMT_2025-07
GL000602,2025-07-18,2001,Revenue,2632.37,0.0,Those responsibility fund never condition.,REF024yP102,USD,BANK_STMT_2025-07
GL000440,2025-07-01,1002,Checking Account,0.0,3990.64,People arm order.,REF391iy119,USD,BANK_STMT_2025-07
GL000838,2025-07-13,1001,Cash,3949.82,0.0,Stuff senior agree total whether music sometimes.,REF070KB534,USD,BANK_STMT_2025-07
GL000571,2025-07-15,2001,Revenue,3632.01,0.0,Little result paper seven measure leave.,REF772QN519,USD,BANK_STMT_2025-07
GL000880,2025-07-11,2001,Savings,0.0,7893.88,Top follow bit grow too city little from.,REF125Il427,USD,BANK_STMT_2025-07
GL000262,2025-07-24,2001,Cash,0.0,3832.06,South sort outside produce.,REF207zy446,USD,BANK_STMT_2025-07
GL000579,2025-06-29,1001,Savings,0.0,6286.68,Several prepare by nothing land.,REF832Yp582,USD,BANK_STMT_2025-06
GL000024,2025-07-16,3001,Checking Account,0.0,8275.71385050636,Claim kind relationship night born.,REF280jB598,USD,BANK_STMT_2025-07
GL000031,2025-07-16,1002,Revenue,0.0,2129.24,I fast camera inside wait quality.,REF299at468,USD,BANK_STMT_2025-07
GL000618,2025-07-11,2001,Savings,2997.29,0.0,City offer financial data respond learn cut.,REF271Hv693,USD,BANK_STMT_2025-07
GL000011,2025-07-22,1002,Checking Account,0.0,1508.14,Truth out major born guy world southern.,REF303UF911,USD,BANK_STMT_2025-07
GL000222,2025-07-16,1002,Revenue,1818.41,0.0,Run national somebody character usually.,REF038aW505,USD,BANK_STMT_2025-07
GL000821,2025-07-16,1002,Checking Account,8284.9,0.0,Admit across already grow point news impact.,REF914eC985,USD,BANK_STMT_2025-07
GL000297,2025-07-19,1001,Checking Account,0.0,773.42,Successful feeling so nearly authority remain moment whatever.,REF818Iz268,USD,BANK_STMT_2025-07
GL000055,2025-06-29,1001,Savings,0.0,5075.35,Necessary choose impact ready.,REF740SD344,USD,BANK_STMT_2025-06
GL000543,2025-06-26,3001,Savings,877.21,0.0,Blue interesting behind produce nothing effect effort.,REF180Yl172,USD,BANK_STMT_2025-06
GL000210,2025-06-27,2001,Checking Account,6860.23,0.0,White fire cause everybody base network.,REF994HM043,USD,BANK_STMT_2025-06
GL000605,2025-07-05,1002,Cash,0.0,1276.05,Smile foreign apply somebody their.,REF897YQ317,USD,BANK_STMT_2025-07
GL000693,2025-07-03,2001,Checking Account,0.0,745.65,Fight especially exactly.,REF563ca502,USD,BANK_STMT_2025-07
GL000663,2025-07-03,1001,Savings,6813.120279872554,0.0,Fact certain design security same across rise.,REF912dg662,USD,BANK_STMT_2025-07
GL000867,2025-07-20,3001,Savings,2231.65,0.0,Reason economy build tonight present concern term.,REF756my398,USD,BANK_STMT_2025-07
GL000071,2025-07-14,3001,Checking Account,6242.16,0.0,Marriage on discussion point least.,REF074Cw821,USD,BANK_STMT_2025-07
GL000544,2025-07-13,3001,Cash,6137.77,0.0,And indicate region finish right serious.,REF794lf523,USD,BANK_STMT_2025-07
GL000108,2025-07-12,1002,Checking Account,6212.74,0.0,Speak close join improve put down know expect.,REF738mx347,USD,BANK_STMT_2025-07
GL000494,2025-07-25,3001,Revenue,0.0,375.99,Attention standard shake more respond who commercial.,REF801xS387,USD,BANK_STMT_2025-07
GL000591,2025-07-15,1002,Revenue,98.75,0.0,Personal agreement it agency something various subject east.,REF735Yp058,USD,BANK_STMT_2025-07
GL000742,2025-07-18,3001,Savings,0.0,2804.33,Need class job expect.,REF649fP111,USD,BANK_STMT_2025-07
GL000293,2025-06-26,1001,Cash,1162.88,0.0,Ten score night down six sometimes explain.,REF066da658,USD,BANK_STMT_2025-06
GL000290,2025-06-29,1001,Checking Account,3842.52,0.0,Tv car report window concern my.,REF515KQ879,USD,BANK_STMT_2025-06
GL000653,2025-07-22,1001,Revenue,2894.42,0.0,Then size respond all marriage beautiful strategy.,REF872QI717,USD,BANK_STMT_2025-07
GL000040,2025-07-22,1001,Checking Account,5936.14,0.0,Move trade option production base investment term consider.,REF465vW375,USD,BANK_STMT_2025-07
GL000590,2025-06-27,2001,Savings,351.4,0.0,Create bank occur agent scene within.,REF613te325,USD,BANK_STMT_2025-06
GL000308,2025-07-19,1001,Checking Account,678.48,0.0,Economy culture oil week.,REF523em149,USD,BANK_STMT_2025-07
GL000680,2025-07-03,1001,Cash,0.0,1596.11,War close arm sea never.,REF706FG827,USD,BANK_STMT_2025-07
GL000067,2025-07-25,1002,Revenue,8246.6,0.0,Thank them key moment lead reveal.,REF621NS745,USD,BANK_STMT_2025-07
GL000276,2025-07-13,1002,Revenue,3314.75,0.0,International break surface three act catch.,REF255Uf794,USD,BANK_STMT_2025-07
GL000068,2025-07-13,1002,Revenue,3291.188340323329,0.0,Power system system teacher here first.,REF780OR913,USD,BANK_STMT_2025-07
GL000319,2025-07-17,1002,Cash,0.0,6649.951644427545,Might if wide point.,REF413Ek797,USD,BANK_STMT_2025-07
GL000549,2025-07-22,1001,Revenue,9909.37,0.0,Hundred message right very toward test discussion.,REF080Je695,USD,BANK_STMT_2025-07
GL000999,2025-07-12,1002,Revenue,4359.56,0.0,Out perform election two.,REF943AA460,USD,BANK_STMT_2025-07
GL000715,2025-07-09,2001,Checking Account,0.0,467.82,Himself near much manage movie.,REF361KX968,USD,BANK_STMT_2025-07
GL000754,2025-07-21,1001,Revenue,0.0,2847.19,Outside above miss effort business paper movie military.,REF235ui130,USD,BANK_STMT_2025-07
GL000328,2025-07-09,3001,Savings,0.0,4039.32,Statement likely outside because.,REF435Uy190,USD,BANK_STMT_2025-07
GL000383,2025-07-15,1002,Checking Account,392.5074184905424,0.0,Heavy town money.,REF420rd439,USD,BANK_STMT_2025-07
GL000452,2025-06-27,3001,Cash,3034.53,0.0,National focus who degree animal community as.,REF426kC258,USD,BANK_STMT_2025-06
GL000523,2025-06-28,1002,Revenue,0.0,1572.49,Political contain kitchen.,REF206Kf345,USD,BANK_STMT_2025-06
GL000219,2025-07-09,1001,Checking Account,0.0,1670.44,Him change use tax need trial.,REF635re365,USD,BANK_STMT_2025-07
GL000788,2025-07-09,1002,Cash,0.0,7368.31,Father until leave contain.,REF612GR875,USD,BANK_STMT_2025-07
GL000437,2025-07-19,2001,Cash,0.0,5786.41,High firm morning what best most government.,REF694Zg544,USD,BANK_STMT_2025-07
GL000765,2025-07-05,2001,Savings,0.0,7535.63,Black follow reach job.,REF213Sd580,USD,BANK_STMT_2025-07
GL000089,2025-07-09,1002,Checking Account,0.0,1632.4,Speech news only no form business.,REF560wg494,USD,BANK_STMT_2025-07
GL000064,2025-07-15,1002,Revenue,1353.64,0.0,Certain course out second carry attorney significant.,REF658Ut404,USD,BANK_STMT_2025-07
GL000827,2025-07-18,1001,Cash,0.0,5290.65,Vote her old price change several.,REF113OJ989,USD,BANK_STMT_2025-07
GL000717,2025-07-04,3001,Cash,0.0,5266.2,Far century table will.,REF633hS302,USD,BANK_STMT_2025-07
GL000352,2025-07-04,1001,Savings,2530.14,0.0,Something others someone nature country think.,REF663oq266,USD,BANK_STMT_2025-07
GL000937,2025-07-21,2001,Savings,0.0,4447.93,Cell politics interview.,REF708bK085,USD,BANK_STMT_2025-07
GL000257,2025-06-26,1002,Cash,1692.22,0.0,Anything growth current happy less however type.,REF035lE797,USD,BANK_STMT_2025-06
GL000636,2025-06-30,1001,Revenue,0.0,309.15,Medical international level clearly culture.,REF629KC344,USD,BANK_STMT_2025-06
GL000645,2025-07-13,2001,Revenue,0.0,7697.58,Recognize according collection man best similar.,REF686lx462,USD,BANK_STMT_2025-07
GL000555,2025-07-22,2001,Checking Account,4838.44,0.0,Relationship unit just lead.,REF119cG918,USD,BANK_STMT_2025-07
GL000960,2025-07-04,3001,Revenue,0.0,2037.97,Simply cup seat moment sister.,REF988Io085,USD,BANK_STMT_2025-07
GL000169,2025-07-12,1002,Savings,0.0,426.69,Discuss religious across media health pay project pattern.,REF770Aa088,USD,BANK_STMT_2025-07
GL000918,2025-07-18,3001,Cash,0.0,2005.0,Possible that lot low here protect ask.,REF343MX324,USD,BANK_STMT_2025-07
GL000529,2025-07-07,3001,Revenue,0.0,4936.811535439999,Dog late eat old positive.,REF107Rn256,USD,BANK_STMT_2025-07
GL000824,2025-07-11,1002,Cash,3764.82,0.0,Music and doctor board medical both.,REF133RA595,USD,BANK_STMT_2025-07
GL000986,2025-07-10,2001,Cash,0.0,1509.88,Forward behind idea red.,REF666lg725,USD,BANK_STMT_2025-07
GL000817,2025-07-08,2001,Cash,0.0,3146.2,Day continue issue appear figure.,REF850ZW954,USD,BANK_STMT_2025-07
GL000087,2025-07-07,3001,Cash,0.0,3219.06,Soldier boy pressure there.,REF836vD736,USD,BANK_STMT_2025-07
GL000433,2025-07-23,2001,Revenue,0.0,737.19,Edge past every either scientist.,REF929Zl275,USD,BANK_STMT_2025-07
GL000185,2025-07-18,1002,Revenue,2837.67,0.0,Plan drug probably resource.,REF617zI979,USD,BANK_STMT_2025-07
GL000979,2025-07-03,2001,Revenue,0.0,2218.44,Study increase necessary nothing include summer ok.,REF964xx546,USD,BANK_STMT_2025-07
GL000535,2025-06-30,1001,Savings,0.0,599.59,Data exist strong seek.,REF499HX390,USD,BANK_STMT_2025-06
GL000295,2025-07-12,1001,Checking Account,0.0,1412.47,Work avoid while same.,REF160qi648,USD,BANK_STMT_2025-07
GL000893,2025-07-06,2001,Cash,0.0,3386.41,Itself let always test least anyone out.,REF546Ir540,USD,BANK_STMT_2025-07
GL000426,2025-06-27,1001,Savings,8483.34,0.0,Cause new successful growth individual eye their.,REF220UF102,USD,BANK_STMT_2025-06
GL000714,2025-07-23,1002,Revenue,0.0,647.13,Into risk certain follow camera should good.,REF767iZ695,USD,BANK_STMT_2025-07
GL000261,2025-07-07,2001,Savings,7926.47,0.0,Loss from everybody foot.,REF444Wp328,USD,BANK_STMT_2025-07
GL000238,2025-07-09,1001,Revenue,0.0,8321.37,Carry church we social whether power.,REF289ly539,USD,BANK_STMT_2025-07
GL000560,2025-07-25,2001,Checking Account,2320.67,0.0,Produce political total.,REF084tU668,USD,BANK_STMT_2025-07
GL000584,2025-07-07,2001,Cash,3308.85,0.0,Several Mrs skin power back all story.,REF715yl695,USD,BANK_STMT_2025-07
GL000446,2025-07-12,3001,Cash,0.0,2434.31,Area young positive half table future.,REF743yQ280,USD,BANK_STMT_2025-07
GL000868,2025-06-30,1002,Checking Account,0.0,1550.14,Condition section action kind moment accept.,REF451aM548,USD,BANK_STMT_2025-06
GL000801,2025-07-23,2001,Savings,7709.52,0.0,Artist economy also seek.,REF759gS025,USD,BANK_STMT_2025-07
GL000600,2025-07-09,1002,Checking Account,2661.73,0.0,Dream same weight former science.,REF362ew050,USD,BANK_STMT_2025-07
GL000850,2025-07-19,1001,Cash,0.0,5994.59,Bill huge machine church feeling discover significant.,REF304iV166,USD,BANK_STMT_2025-07
GL000266,2025-07-14,1001,Savings,0.0,3820.29,Morning including that character yeah garden.,REF972Fv521,USD,BANK_STMT_2025-07
GL000996,2025-07-05,2001,Cash,1147.07,0.0,Myself political school move another field could.,REF806Gx882,USD,BANK_STMT_2025-07
GL000530,2025-07-13,1002,Savings,3473.72,0.0,Remain save eight believe arrive four.,REF375aq990,USD,BANK_STMT_2025-07
GL000056,2025-06-25,2001,Revenue,1874.28,0.0,Reach under skin person.,REF361rj832,USD,BANK_STMT_2025-06
GL000121,2025-07-25,1002,Savings,0.0,334.42,Guy song quickly well central parent.,REF702xy135,USD,BANK_STMT_2025-07
GL000216,2025-07-09,1001,Checking Account,0.0,565.17,Clearly well mission.,REF425Xb241,USD,BANK_STMT_2025-07
GL000026,2025-07-11,2001,Checking Account,0.0,8689.42,Wind see understand door class son.,REF260ZQ256,USD,BANK_STMT_2025-07
GL000073,2025-07-18,1002,Checking Account,0.0,8873.481302546808,Ever not rate seat any paper.,REF743Om953,USD,BANK_STMT_2025-07
GL000045,2025-06-27,3001,Cash,8895.5,0.0,Support state black.,REF572Pr628,USD,BANK_STMT_2025-06
GL000248,2025-06-25,1001,Cash,0.0,2293.76,Including series dinner article hit mission whole.,REF793zT741,USD,BANK_STMT_2025-06
GL000722,2025-07-13,3001,Checking Account,5621.03,0.0,Hot state wish painting baby.,REF775dZ662,USD,BANK_STMT_2025-07
GL000282,2025-07-20,3001,Savings,0.0,4463.3,Soon large task language budget market.,REF016Ja608,USD,BANK_STMT_2025-07
GL000894,2025-07-19,1001,Revenue,5582.42,0.0,Fall indicate land fear.,REF091Vz508,USD,BANK_STMT_2025-07
GL000915,2025-07-02,3001,Cash,0.0,690.66,Along cause miss ago they nor research fill.,REF294jV774,USD,BANK_STMT_2025-07
GL000811,2025-07-16,3001,Revenue,3882.97,0.0,Goal gas truth draw begin act.,REF689de003,USD,BANK_STMT_2025-07
GL000245,2025-06-29,2001,Savings,4851.04,0.0,Occur style child guess into far.,REF973kO103,USD,BANK_STMT_2025-06
GL000823,2025-07-12,2001,Savings,4342.23,0.0,Contain medical key.,REF508qb304,USD,BANK_STMT_2025-07
GL000322,2025-06-26,1001,Savings,0.0,6299.36,There mother sell.,REF172XR980,USD,BANK_STMT_2025-06
GL000644,2025-06-28,2001,Savings,1282.14,0.0,May mouth though only safe.,REF119Vn524,USD,BANK_STMT_2025-06
GL000159,2025-07-11,1001,Revenue,3099.72,0.0,Leave choice country themselves she.,REF069eg033,USD,BANK_STMT_2025-07
GL000978,2025-07-24,2001,Cash,154.05,0.0,Choice yeah ago difference reason despite themselves.,REF732bN043,USD,BANK_STMT_2025-07
GL000430,2025-07-08,3001,Revenue,167.93,0.0,Piece professional protect range much often party.,REF580EK778,USD,BANK_STMT_2025-07
GL000942,2025-07-22,1002,Revenue,0.0,2486.37,Throw resource officer country challenge final.,REF108Iw902,USD,BANK_STMT_2025-07
GL000463,2025-06-29,3001,Revenue,2057.12,0.0,Laugh drive next actually.,REF632Pf543,USD,BANK_STMT_2025-06
GL000310,2025-07-21,1002,Checking Account,8577.2,0.0,Everybody growth quickly former lose knowledge.,REF478fr129,USD,BANK_STMT_2025-07
GL000698,2025-07-22,3001,Cash,5442.74,0.0,Industry use mean against out recent can.,REF090RI367,USD,BANK_STMT_2025-07
GL000061,2025-06-28,1001,Revenue,8345.69,0.0,Ten stay ability thank left approach.,REF859nr770,USD,BANK_STMT_2025-06
GL000885,2025-07-13,1001,Cash,7069.32,0.0,Job right child new simply.,REF072JR517,USD,BANK_STMT_2025-07
GL000596,2025-07-25,3001,Savings,0.0,200.58,Eight inside right know during someone art.,REF496LI854,USD,BANK_STMT_2025-07
GL000768,2025-06-30,1001,Checking Account,4169.85,0.0,With focus room difficult enough fast bar.,REF833dn117,USD,BANK_STMT_2025-06
GL000650,2025-06-25,1001,Checking Account,2896.73,0.0,Her arm green form beyond lead.,REF620rS918,USD,BANK_STMT_2025-06
GL000651,2025-07-05,2001,Revenue,0.0,5754.06,Happy peace probably little including.,REF305ZV050,USD,BANK_STMT_2025-07
GL000866,2025-07-24,1002,Savings,0.0,1656.51,Similar relationship great stuff first back.,REF932JC426,USD,BANK_STMT_2025-07
GL000669,2025-07-23,2001,Revenue,631.87,0.0,Accept language fire always.,REF932Wc184,USD,BANK_STMT_2025-07
GL000299,2025-07-15,1001,Cash,2208.86,0.0,Boy generation drive.,REF993Yh056,USD,BANK_STMT_2025-07
GL000690,2025-07-24,1002,Savings,0.0,8111.0106493812345,Role cost exactly boy.,REF436SU371,USD,BANK_STMT_2025-07
GL000315,2025-07-18,1001,Savings,0.0,4756.37,Military social hold truth thing.,REF051LI844,USD,BANK_STMT_2025-07
GL000311,2025-07-17,1001,Checking Account,0.0,2846.35,Through cultural safe phone.,REF108zX099,USD,BANK_STMT_2025-07
GL000362,2025-07-09,2001,Revenue,0.0,1939.65,South just cover ready group care.,REF077SF848,USD,BANK_STMT_2025-07
GL000480,2025-07-13,1002,Checking Account,9659.94,0.0,Score indeed kind clearly road today.,REF629nt912,USD,BANK_STMT_2025-07
GL000111,2025-07-24,3001,Savings,3085.58,0.0,Dog yes heart agreement us stuff.,REF522Si047,USD,BANK_STMT_2025-07
GL000990,2025-07-05,1002,Checking Account,5992.559053502794,0.0,Outside off through relationship.,REF282cI709,USD,BANK_STMT_2025-07
GL000487,2025-06-26,3001,Revenue,3534.71,0.0,Step rate feeling rate read benefit.,REF952sx028,USD,BANK_STMT_2025-06
GL000364,2025-07-19,1002,Revenue,0.0,558.1,Must law simply media safe.,REF095Ue935,USD,BANK_STMT_2025-07
GL000255,2025-07-03,3001,Checking Account,0.0,1766.47,Rock painting become kid tree.,REF678Yk508,USD,BANK_STMT_2025-07
GL000260,2025-06-29,3001,Revenue,0.0,703.11,Learn design few minute perhaps once.,REF085st899,USD,BANK_STMT_2025-06
GL000803,2025-07-19,1001,Revenue,0.0,6782.98,Where benefit almost cell accept similar nothing ten.,REF528KE733,USD,BANK_STMT_2025-07
GL000678,2025-07-10,2001,Revenue,0.0,8423.16,Require price central nothing environment truth police.,REF539Cw672,USD,BANK_STMT_2025-07
GL000495,2025-06-29,1001,Cash,0.0,3690.54,Continue pull blue strong wonder interest method imagine.,REF517FW182,USD,BANK_STMT_2025-06
GL000671,2025-07-25,1001,Revenue,0.0,4804.53,Knowledge officer reason mission worry goal Mrs.,REF310jt303,USD,BANK_STMT_2025-07
GL000378,2025-06-26,2001,Revenue,0.0,4416.29,Maybe similar candidate care nice maintain.,REF938pe983,USD,BANK_STMT_2025-06
GL000527,2025-07-20,1001,Checking Account,0.0,1075.71,Water bring responsibility itself.,REF771Yr333,USD,BANK_STMT_2025-07
GL000846,2025-07-23,1001,Savings,0.0,2097.52,Three situation article sign energy.,REF566qd766,USD,BANK_STMT_2025-07
GL000138,2025-07-04,1001,Revenue,1228.94,0.0,Sound mind chance throw cause use.,REF526vG949,USD,BANK_STMT_2025-07
GL000356,2025-06-30,2001,Revenue,0.0,4880.99,Inside size marriage he recent all.,REF120IE461,USD,BANK_STMT_2025-06
GL000366,2025-06-26,2001,Savings,0.0,646.82,Dark magazine better.,REF967qd899,USD,BANK_STMT_2025-06
GL000943,2025-07-15,2001,Savings,4189.434289266344,0.0,Force firm discover decade.,REF426Xw433,USD,BANK_STMT_2025-07
GL000750,2025-07-17,1001,Savings,2703.09,0.0,Work play sing cost.,REF343Xq836,USD,BANK_STMT_2025-07
GL000949,2025-07-07,2001,Revenue,0.0,3459.965401482142,Information company million character.,REF251nt207,USD,BANK_STMT_2025-07
GL000830,2025-07-09,2001,Savings,4453.26,0.0,Trip president painting large.,REF639XA283,USD,BANK_STMT_2025-07
GL000657,2025-07-16,2001,Cash,0.0,3834.25,Of camera finish herself.,REF040yB983,USD,BANK_STMT_2025-07
GL000200,2025-07-07,1002,Revenue,0.0,3578.84,Now mother others collection.,REF449iW481,USD,BANK_STMT_2025-07
GL000214,2025-06-28,1002,Revenue,0.0,2903.34,Everyone finally memory data.,REF285tS691,USD,BANK_STMT_2025-06
GL000409,2025-07-09,1001,Savings,0.0,9836.49,New affect officer forward trouble somebody.,REF124OI056,USD,BANK_STMT_2025-07
GL000333,2025-06-29,1002,Revenue,0.0,3991.5,Then spend offer reason whom.,REF973Lb577,USD,BANK_STMT_2025-06
GL000209,2025-06-29,3001,Checking Account,0.0,6312.27,Goal defense security turn pattern kind.,REF311Uy219,USD,BANK_STMT_2025-06
GL000614,2025-07-19,1002,Checking Account,0.0,4859.56,Several real federal only nothing allow.,REF225Kz999,USD,BANK_STMT_2025-07
GL000079,2025-06-28,1001,Savings,0.0,8155.58,He we recent music onto risk those.,REF179Sx640,USD,BANK_STMT_2025-06
GL000030,2025-07-18,1002,Revenue,2289.86,0.0,Rather vote say culture issue we TV.,REF951QA484,USD,BANK_STMT_2025-07
GL000536,2025-07-14,1002,Revenue,2931.99,0.0,Congress turn east marriage behind forget expect.,REF165jb915,USD,BANK_STMT_2025-07
GL000696,2025-07-18,2001,Checking Account,0.0,2128.27,Once beautiful blood picture own.,REF093eI371,USD,BANK_STMT_2025-07
GL000558,2025-07-09,2001,Revenue,3867.26,0.0,Guess professor charge send instead direction.,REF666bC785,USD,BANK_STMT_2025-07
GL000837,2025-07-12,1001,Cash,8121.5,0.0,Expect budget event keep those eye.,REF491gn342,USD,BANK_STMT_2025-07
GL000597,2025-07-06,3001,Savings,0.0,3096.04,Challenge final garden hard.,REF089GJ203,USD,BANK_STMT_2025-07
GL000166,2025-07-16,1001,Savings,9177.9,0.0,Better wonder light style trial have including.,REF932LL048,USD,BANK_STMT_2025-07
GL000919,2025-07-02,1002,Checking Account,0.0,1958.5,Practice ground least tree.,REF083zO350,USD,BANK_STMT_2025-07
GL000496,2025-06-25,1002,Savings,0.0,3655.72,Relate news American foreign break exist.,REF947sB386,USD,BANK_STMT_2025-06
GL000825,2025-07-01,1001,Cash,0.0,5055.03,Politics then central force.,REF556Nb574,USD,BANK_STMT_2025-07
GL000066,2025-07-12,3001,Savings,5585.01,0.0,Fish list tree.,REF662GL702,USD,BANK_STMT_2025-07
GL000142,2025-06-25,1002,Cash,5621.290218697512,0.0,Heavy what least mouth national put test.,REF497Jt334,USD,BANK_STMT_2025-06
GL000926,2025-07-09,1002,Cash,0.0,9647.61,Final key with watch maintain five window.,REF772Rt216,USD,BANK_STMT_2025-07
GL000828,2025-06-27,1002,Revenue,0.0,3901.28,Much building these sometimes parent process.,REF875sp439,USD,BANK_STMT_2025-06
GL000656,2025-07-15,1002,Cash,0.0,240.75,President size whom join do else.,REF411mV159,USD,BANK_STMT_2025-07
