transaction_id,transaction_date,description,amount,balance,reference_number,transaction_type,channel,currency
TXN000118,2025-07-28,Event son join hundred keep what.,-1290.75,42122.21,REF527rZ758,DEBIT,ONLINE,USD
TXN000119,2025-07-02,Risk bad own state.,2103.42,6605.08,REF845Qs115,DEBIT,MOBILE,USD
TXN000120,2025-07-20,Knowledge response coach know language.,-1156.34,19075.86,REF596QO401,DEBIT,ONLINE,USD
TXN000121,2025-07-28,Guy song quickly well central parent.,-334.42,29355.55,REF702xy135,CREDIT,MOBILE,USD
TXN000122,2025-07-10,Allow check last he know baby case.,9122.06,10718.16,REF565bV431,DEBIT,ATM,USD
TXN000123,2025-07-20,Material hit no energy.,,42664.37,REF473mh947,DEBIT,ATM,USD
TXN000124,2025-07-09,Table later together knowledge.,2991.18,33414.55,REF155st188,DEBIT,BRANCH,USD
TXN000125,2025-06-28,Republican until point soldier.,7743.63,41294.21,REF831YF323,DEBIT,MOBILE,USD
TXN000126,2025-07-28,Guess occur level.,432.82,44687.18,REF829zT114,CREDIT,ONLINE,USD
TXN000127,2025-07-11,Moment shoulder statement available win politics last.,-2357.95,26565.59,REF852Xi892,CREDIT,MOBILE,USD
TXN000128,2025-07-12,Me than story million fight class.,1533.62,36820.28,REF358mO414,CREDIT,BRANCH,USD
TXN000129,2025-07-25,Ever person pass behavior political option oil.,-1317.57,46796.47,REF299bf590,CREDIT,MOBILE,USD
TXN000130,2025-07-05,We side enough.,6257.14,28922.63,REF396OI907,CREDIT,BRANCH,USD
TXN000131,2025-06-28,Politics few each southern image.,,16925.69,REF710ED276,CREDIT,ONLINE,USD
TXN000132,2025-07-09,Future century technology floor write.,6967.49,17676.6,REF562gu588,CREDIT,ATM,USD
TXN000133,2025-07-14,Letter environment easy best face.,9220.94,5195.04,REF696KU325,CREDIT,MOBILE,USD
TXN000134,2025-07-15,Couple city you level these market.,6372.47,34839.86,REF168Lw733,CREDIT,MOBILE,USD
TXN000135,2025-07-23,Anything manager think.,-4741.35,15417.54,REF748iq016,CREDIT,ONLINE,USD
TXN000136,2025-07-07,Shake hand hundred now crime network.,4959.4,19082.0,REF168NR784,CREDIT,MOBILE,USD
TXN000137,2025-07-21,Budget window hour some fund voice sense current.,3255.83,18238.72,REF868iT000,CREDIT,BRANCH,USD
TXN000138,2025-07-07,Sound mind chance throw cause use.,-1228.94,6912.14,REF526vG949,DEBIT,BRANCH,USD
TXN000139,2025-07-01,Mother remember feel staff happy purpose woman.,6143.22,47593.0,REF940PY974,DEBIT,ONLINE,USD
TXN000140,2025-07-04,Officer return on color pick people subject challenge.,6079.07,14548.48,REF309Cu130,CREDIT,ATM,USD
TXN000141,2025-07-24,Charge real improve simple turn their.,-2088.24,12146.68,REF028QE385,DEBIT,BRANCH,USD
TXN000142,2025-06-28,Heavy what least mouth national put test.,5620.28,7202.57,REF497Jt334,DEBIT,ATM,USD
TXN000143,2025-07-15,Walk word side relate real.,-617.95,47260.39,REF757sh584,CREDIT,ATM,USD
TXN000144,2025-07-25,Quality here woman stand west source fact.,-4816.02,14932.63,REF415nm747,CREDIT,MOBILE,USD
TXN000145,2025-07-08,Even no even body scientist dream anything.,-2234.54,3517.46,REF833vT016,CREDIT,ATM,USD
TXN000146,2025-07-24,Beyond side accept nearly upon imagine various.,-4019.85,25095.58,REF773Pd454,DEBIT,ONLINE,USD
TXN000147,2025-07-02,Present discussion school sure.,7167.13,47507.16,REF026YF206,DEBIT,ONLINE,USD
TXN000148,2025-07-01,View while unit theory.,3371.1,21392.53,REF049sD915,DEBIT,MOBILE,USD
TXN000149,2025-07-12,Modern threat care mean evening speak former.,8627.57,15570.3,REF742KR054,CREDIT,BRANCH,USD
TXN000150,2025-07-16,Compare task today still middle.,4315.41,30871.91,REF161up227,DEBIT,ONLINE,USD
TXN000151,2025-07-18,End dog send.,-1834.62,33360.98,REF549Px904,DEBIT,ONLINE,USD
TXN000152,2025-07-03,Artist brother fill if maybe.,3279.88,8670.1,REF414oi593,CREDIT,MOBILE,USD
TXN000153,2025-07-20,Check security paper indeed near likely Mr.,3907.17,15271.71,REF339HT187,DEBIT,BRANCH,USD
TXN000154,2025-07-20,Back nor article natural measure of.,-759.22,43120.73,REF225Rn871,DEBIT,ONLINE,USD
TXN000155,2025-07-27,Major together knowledge argue car indeed nor next.,-1031.68,39771.14,REF406Le403,DEBIT,MOBILE,USD
TXN000156,2025-07-01,Interest red must.,3168.44,32734.1,REF017lX046,CREDIT,ONLINE,USD
TXN000157,2025-06-30,She within position inside.,-4105.43,39838.8,REF676iP618,CREDIT,MOBILE,USD
TXN000158,2025-07-01,Budget year hotel camera without strong.,2030.47,15900.47,REF047yo868,CREDIT,BRANCH,USD
TXN000159,2025-07-14,Leave choice country themselves she.,3099.72,22450.18,REF069eg033,DEBIT,MOBILE,USD
TXN000160,2025-07-21,Almost our reflect any scientist I doctor describe.,-165.18,13268.03,REF028uK439,DEBIT,ONLINE,USD
TXN000161,2025-07-28,Significant stand down then worry miss including every.,5114.48,43165.33,REF892dw687,DEBIT,BRANCH,USD
TXN000162,2025-07-16,Skill five indicate chance heavy senior.,-4396.52,38057.17,REF733dJ427,CREDIT,MOBILE,USD
TXN000163,2025-07-27,Whose newspaper care drug data position.,-827.65,49850.33,REF751ry830,CREDIT,MOBILE,USD
TXN000164,2025-06-30,Owner them could seven right next look thank.,2050.16,21009.06,REF540VW331,CREDIT,ATM,USD
TXN000165,2025-07-25,Trial receive region however dream focus executive.,-2587.63,21170.61,REF785GF445,CREDIT,BRANCH,USD
TXN000166,2025-07-19,Better wonder light style trial have including.,9177.9,40864.74,REF932LL048,DEBIT,MOBILE,USD
TXN000167,2025-06-30,Far cultural discover now early nearly.,-282.24,16840.42,REF547UY772,CREDIT,ATM,USD
TXN000168,2025-07-19,College result major true my politics.,8040.51,23636.84,REF080Ai100,DEBIT,ONLINE,USD
TXN000169,2025-07-14,Discuss religious across media health pay project pattern.,426.69,38065.71,REF770Aa088,CREDIT,ATM,USD
TXN000170,2025-07-04,Morning ever within.,-994.16,7419.65,REF086Hj211,CREDIT,MOBILE,USD
TXN000171,2025-07-26,Court money spring environment however.,5473.75,6949.88,REF567tR933,DEBIT,ONLINE,USD
TXN000172,2025-07-07,President teach service behavior.,3262.59,28060.32,REF668Sk700,DEBIT,ONLINE,USD
,2025-07-24,Matter its six not.,8693.95,23610.95,REF180Er339,DEBIT,ONLINE,USD
TXN000174,2025-07-13,Under range exactly.,8989.8,15301.22,REF890nL250,CREDIT,MOBILE,USD
TXN000175,2025-07-24,Sell require huge baby.,2237.49,24138.77,REF293vy968,CREDIT,ONLINE,USD
TXN000176,2025-07-10,So ready bad seat.,-2140.84,30369.5,REF501vM631,DEBIT,ATM,USD
TXN000177,2025-07-06,Western however similar ahead event yeah make green.,,42866.21,REF662XN961,CREDIT,BRANCH,USD
TXN000178,2025-07-24,Something require bank child Republican.,-4961.52,36576.5,REF265at511,CREDIT,ONLINE,USD
TXN000179,2025-07-12,Growth especially car cost large never.,3078.71,17911.07,REF610fM158,CREDIT,MOBILE,USD
TXN000180,2025-07-27,Six tell activity including single right nice yeah.,-173.34,10243.97,REF398ir262,DEBIT,MOBILE,USD
TXN000181,2025-07-05,Environmental certainly cold every feel.,7840.19,21127.98,REF154Nm379,CREDIT,MOBILE,USD
TXN000182,2025-07-20,Blood fight we forward per sound forget.,8701.45,19680.33,REF569MS245,DEBIT,MOBILE,USD
TXN000183,2025-07-28,Look concern huge five same.,-4444.71,25612.27,REF793Yz564,CREDIT,ATM,USD
TXN000184,2025-07-25,Box nor or nation race nearly.,7675.59,5885.87,REF737RF416,CREDIT,ATM,USD
TXN000185,2025-07-21,Plan drug probably resource.,-2837.67,43675.72,REF617zI979,DEBIT,ATM,USD
TXN000186,2025-07-13,Type thank industry already why reduce speech.,6722.88,13986.12,REF911PN352,CREDIT,ATM,USD
TXN000187,2025-07-25,None population position.,-71.52,34043.52,REF561oG014,CREDIT,BRANCH,USD
TXN000188,2025-07-18,Newspaper reach determine hear leg quickly real.,5780.76,38210.69,REF250Af714,DEBIT,ATM,USD
TXN000189,2025-07-05,Story role give gas.,4467.42,46125.53,REF387CU571,DEBIT,ATM,USD
TXN000190,2025-07-11,Five feel special boy support possible quality.,9675.07,38258.11,REF238vJ282,DEBIT,MOBILE,USD
TXN000191,2025-07-03,When discussion if continue policy it.,5410.02,45267.78,REF093ya796,DEBIT,BRANCH,USD
TXN000192,2025-07-23,Day sell speak artist big.,-4158.21,18564.7,REF825hq537,CREDIT,ONLINE,USD
TXN000193,2025-07-05,Month police others particularly only girl suddenly.,2967.49,28730.48,REF924Ri991,DEBIT,ONLINE,USD
TXN000194,2025-07-03,Brother figure consumer really memory industry.,-3815.47,43671.14,REF296OI627,DEBIT,MOBILE,USD
TXN000195,2025-07-27,Never majority cell fire.,3747.36,12377.23,REF790im507,CREDIT,MOBILE,USD
TXN000196,2025-07-06,White measure manager range indeed style.,5002.61,45046.52,REF721sc903,CREDIT,BRANCH,USD
TXN000001,2025-07-19,Different eye sit not significant.,3198.97,4619.23,REF788rX191,CREDIT,BRANCH,USD
TXN000198,2025-07-18,Statement happen state among rest national wrong.,9430.44,34825.36,REF134wf074,CREDIT,BRANCH,USD
TXN000199,2025-07-04,Tend bring speech decide scene ready.,9990.6,42813.44,REF962nZ923,DEBIT,ONLINE,USD
TXN000200,2025-07-10,Now mother others collection.,3578.84,29165.78,REF449iW481,CREDIT,ATM,USD
TXN000201,2025-07-24,Try yeah term camera tend economic.,4873.45,14449.54,REF536Or729,DEBIT,MOBILE,USD
TXN000202,2025-07-24,Increase later plant they behavior middle everything view.,8562.33,15023.51,REF577XU590,DEBIT,BRANCH,USD
TXN000203,2025-07-05,Room learn professional group.,4549.27,31423.67,REF186Fr363,DEBIT,ATM,USD
TXN000204,2025-07-26,Stock front official not magazine gas.,4411.87,2931.71,REF001kC701,CREDIT,ATM,USD
TXN000205,2025-07-16,A when dark read car practice city.,472.92,7439.18,REF415QP415,CREDIT,BRANCH,USD
TXN000206,2025-07-21,Appear personal rise sense.,1232.55,10838.94,REF611ei037,CREDIT,BRANCH,USD
TXN000207,2025-07-24,Difficult quite act receive stage write institution car.,,45788.4,REF136ux111,CREDIT,BRANCH,USD
TXN000208,2025-07-21,Case similar send card year.,8055.95,40407.39,REF218Pk909,CREDIT,ATM,USD
TXN000209,2025-07-02,Goal defense security turn pattern kind.,6312.27,12055.12,REF311Uy219,CREDIT,BRANCH,USD
TXN000210,2025-06-30,White fire cause everybody base network.,,1682.01,REF994HM043,DEBIT,MOBILE,USD
TXN000211,2025-07-09,Country hot position six soldier dream history.,5092.43,33944.7,REF379xu180,CREDIT,BRANCH,USD
TXN000001,2025-07-01,Hit stuff inside national.,5122.55,24102.37,REF271aq091,CREDIT,ONLINE,USD
TXN000213,2025-07-18,Always art smile media pick.,-4051.74,41368.91,REF866IN618,CREDIT,MOBILE,USD
,2025-07-01,Everyone finally memory data.,-2903.34,47366.82,REF285tS691,CREDIT,MOBILE,USD
TXN000215,2025-07-01,Role suffer around beat its law.,-3542.12,44475.71,REF904Ti210,DEBIT,MOBILE,USD
TXN000216,2025-07-12,Clearly well mission.,565.17,47519.66,REF425Xb241,CREDIT,ONLINE,USD
TXN000217,2025-07-26,Southern evening ask Republican office baby.,1223.27,5852.06,REF785kx079,CREDIT,MOBILE,USD
TXN000218,2025-07-28,Effort bill off reveal.,9272.82,2603.1,REF380cE003,CREDIT,ONLINE,USD
TXN000219,2025-07-12,Him change use tax need trial.,1670.44,12569.52,REF635re365,CREDIT,ATM,USD
TXN000220,2025-07-19,Head maybe top conference source wonder west.,510.02,45183.11,REF174JD451,CREDIT,ATM,USD
TXN000221,2025-07-10,Hard factor six.,-861.78,48442.14,REF937XX597,CREDIT,ATM,USD
TXN000222,2025-07-19,Run national somebody character usually.,-1818.41,32335.15,REF038aW505,DEBIT,ATM,USD
TXN000223,2025-07-23,Support road billion morning draw man.,2.64,49452.22,REF024HA103,DEBIT,ATM,USD
TXN000224,2025-07-24,Learn security oil measure PM hour.,6477.36,11150.71,REF990sq623,DEBIT,ONLINE,USD
TXN000225,2025-07-08,Unit hotel story for laugh do.,6615.53,39643.54,REF329kC121,DEBIT,BRANCH,USD
TXN000226,2025-07-25,Finish building group show later leg system.,9760.42,49388.84,REF124uj903,CREDIT,ONLINE,USD
TXN000227,2025-07-01,Represent why how any.,4915.86,2263.23,REF442JV067,DEBIT,BRANCH,USD
TXN000228,2025-07-23,Economic left sound cause activity store work.,6826.47,29853.79,REF236Lq519,DEBIT,ONLINE,USD
TXN000229,2025-07-06,Against ask total kitchen.,-4214.01,37344.18,REF215dk107,DEBIT,ATM,USD
TXN000230,2025-07-13,Item right many him interview government traditional.,1724.13,18739.91,REF447NN209,DEBIT,MOBILE,USD
TXN000231,2025-07-14,Positive material third look because.,-1676.75,31140.23,REF626OZ383,CREDIT,MOBILE,USD
TXN000232,2025-07-18,Some writer site grow name machine tree.,9460.39,3980.44,REF856uM420,CREDIT,MOBILE,USD
TXN000233,2025-07-11,Ahead specific exactly speak line.,5291.46,25023.17,REF593Qp213,CREDIT,ATM,USD
,2025-07-26,Move social say shake way.,-3788.14,30806.57,REF965Lu223,DEBIT,ONLINE,USD
TXN000235,2025-07-06,Trial agreement red way nor none.,4364.76,29682.87,REF378cf427,CREDIT,MOBILE,USD
TXN000236,2025-07-17,Discussion despite money a.,2958.35,23232.06,REF932db525,CREDIT,ATM,USD
TXN000237,2025-07-23,Only true similar suffer.,5526.69,42786.84,REF515vt691,DEBIT,MOBILE,USD
TXN000238,2025-07-12,Carry church we social whether power.,8321.37,21276.86,REF289ly539,CREDIT,MOBILE,USD
TXN000239,2025-07-11,Safe family concern ability reduce.,5944.19,16314.87,REF969uZ029,CREDIT,BRANCH,USD
TXN000240,2025-07-09,Determine not view cell seat draw word collection.,9303.89,34654.23,REF157pS043,CREDIT,ATM,USD
TXN000241,2025-06-30,Go skin result answer.,7476.58,5568.27,REF762wI676,DEBIT,BRANCH,USD
TXN000242,2025-07-23,Big look tell prepare reach class.,-3048.27,3939.07,REF104ge054,CREDIT,ATM,USD
TXN000243,2025-07-11,Color heart rule natural together behavior.,303.97,33601.69,REF997MB062,CREDIT,ATM,USD
TXN000244,2025-07-28,Approach former window important.,-685.56,16310.0,REF884gd443,DEBIT,ONLINE,USD
TXN000245,2025-07-02,Occur style child guess into far.,4851.04,11988.0,REF973kO103,DEBIT,BRANCH,USD
